time_s,value
0.0,1.0454
1.0,1.0364
2.0,1.0122
3.1,1.0276
4.1,1.0307
5.1,1.0606
6.1,1.0575
7.1,1.0283
8.1,1.0283
9.2,1.0431
10.2,1.0431
11.2,1.0297
12.2,1.03
13.2,1.0384
14.3,1.0437
15.3,1.0364
16.3,1.0092
17.3,1.0411
18.3,1.033
19.4,1.033
20.4,1.0283
21.4,1.0411
22.4,1.0609
23.4,1.0582
24.5,1.0172
25.5,1.0377
26.5,1.0199
27.5,1.0401
28.5,1.0337
29.5,1.0397
30.6,1.032
31.6,1.0431
32.6,1.0246
33.6,1.0266
34.6,1.0344
35.6,1.033
36.7,1.0451
37.7,1.0374
38.7,1.031
39.7,1.0471
40.7,1.0367
41.8,1.0424
42.8,1.0444
43.8,1.0424
44.8,1.0471
45.8,1.0397
46.9,1.0511
47.9,1.0471
48.9,1.0484
49.9,1.0444
50.9,1.0586
52.0,1.0119
53.0,1.0129
54.0,1.0377
55.0,1.0068
56.1,1.0401
57.1,1.0451
58.1,1.0381
59.1,1.034
60.1,1.0626
61.2,1.0283
62.2,1.0511
63.2,0.9746
64.2,1.0381
65.2,1.033
66.3,1.033
67.3,1.0505
68.3,1.032
69.3,1.0169
70.3,1.0307
71.4,1.0381
72.4,0.9867
73.4,1.0404
74.4,1.0414
75.4,1.0159
76.4,1.0474
77.5,1.034
78.5,1.0364
79.5,1.0337
80.5,1.0364
81.5,1.0307
82.5,1.0223
83.6,1.0347
84.6,1.0394
85.6,1.0092
86.6,0.9867
87.6,1.0364
88.7,1.0337
89.7,1.0283
90.7,1.0297
91.7,1.0448
92.7,1.0307
93.8,1.0481
94.8,1.0283
95.8,1.0092
96.8,1.0431
97.8,1.03
98.8,1.078
99.9,1.0401
100.9,1.0159
101.9,1.0411
102.9,1.0384
103.9,1.0337
105.0,1.0283
106.0,1.0384
107.1,1.028
108.1,1.0367
109.1,1.0186
110.1,1.0374
111.2,1.0361
112.2,1.0011
113.2,1.0344
114.2,1.0367
115.3,1.0226
116.3,1.0176
117.3,1.0095
118.3,1.0411
119.4,1.0367
120.4,1.0498
121.4,1.0397
122.5,1.0283
123.5,1.0283
124.5,1.0548
125.5,1.0364
126.6,1.0397
127.6,1.0196
128.6,1.0276
129.6,1.0511
130.7,1.0189
131.7,1.0388
132.7,1.0146
133.7,1.031
134.8,1.0283
135.8,1.0364
136.8,1.0377
137.9,1.0313
138.9,1.0283
139.9,1.0548
141.0,1.0397
142.0,1.0414
143.0,1.0166
144.0,1.0384
145.1,1.0065
146.1,1.0478
147.2,1.0471
148.2,1.0377
149.2,1.0354
150.2,1.0411
151.3,1.0457
152.3,1.0367
153.4,1.034
154.4,1.032
155.4,1.0337
156.5,1.0367
157.5,1.0633
158.5,1.0384
159.6,1.0414
160.6,1.0334
161.6,1.0283
162.6,1.0451
163.7,1.0431
164.7,1.0344
165.7,1.0408
166.8,1.0176
167.8,1.0511
168.8,1.0388
169.9,1.0471
170.9,1.0283
171.9,1.0394
173.0,1.0633
174.0,1.0377
175.0,1.0337
176.0,1.026
177.1,1.028
178.1,1.0253
179.1,1.0347
180.2,1.0226
181.2,1.0347
182.2,1.032
183.2,1.0505
184.3,1.0411
185.3,1.0082
186.3,1.0377
187.3,1.0364
188.4,1.0518
189.4,1.0532
190.5,1.0283
191.5,1.0334
192.5,1.0394
193.5,1.0414
194.6,1.0505
195.6,1.0498
196.6,1.0444
197.7,1.0122
198.7,1.0256
199.7,1.0283
200.8,1.0518
201.8,1.0414
202.8,1.0344
203.8,1.0344
204.9,1.0337
205.9,1.026
206.9,1.0273
207.9,1.0471
209.0,1.0337
210.0,1.033
211.0,1.0511
212.1,1.0596
213.1,1.0351
214.1,1.0484
215.2,1.0283
216.2,1.0431
217.2,1.0521
218.3,1.0444
219.3,1.0246
220.3,1.0203
221.3,1.0361
222.4,1.0511
223.4,1.0324
224.4,1.0414
225.5,1.0364
226.5,1.0364
227.5,1.0454
228.6,1.0474
229.6,1.0361
230.6,1.0344
231.7,1.0471
232.7,1.0468
233.7,1.0484
234.8,1.0414
235.8,1.0347
236.8,1.0163
237.8,1.0736
238.9,1.028
239.9,1.0401
240.9,1.0484
242.0,1.0192
243.0,1.0451
244.0,1.0367
245.0,1.0471
246.1,1.0414
247.1,1.0431
248.1,1.0313
249.2,1.0146
250.2,1.0444
251.2,1.0411
252.2,1.0337
253.3,1.0394
254.3,1.0313
255.3,1.0129
256.4,1.0065
257.4,1.031
258.4,1.0397
259.5,1.0457
260.5,1.0377
261.5,1.0468
262.5,1.028
263.6,1.0143
264.6,1.0777
265.6,1.0444
266.7,1.0401
267.7,1.0347
268.7,1.0394
269.8,1.027
270.8,1.026
271.8,1.0196
272.8,1.0411
273.9,1.0468
274.9,1.0629
275.9,1.0451
277.0,1.0347
278.0,1.0434
279.0,1.0377
280.1,1.0317
281.1,1.0565
282.1,1.0283
283.2,1.0283
284.2,1.0431
285.2,1.0401
286.3,1.0633
287.3,1.0337
288.3,1.0377
289.4,1.0384
290.4,1.0441
291.4,1.0518
292.4,1.033
293.4,1.0337
294.5,1.0384
295.5,1.0394
296.6,1.0606
297.6,1.0283
298.6,1.0313
299.6,1.0474
300.7,1.0559
301.7,1.0545
302.8,1.0411
