time_s,value
0.0,111.8
1.0,109.2
2.1,112.1
3.1,115.3
4.1,117.3
5.2,111.8
6.2,110.8
7.2,105.5
8.2,112.0
9.3,115.2
10.3,115.3
11.3,108.8
12.3,111.0
13.4,116.0
14.4,116.0
15.4,113.9
16.5,115.8
17.5,112.8
18.5,109.9
19.6,110.7
20.6,112.9
21.6,114.7
22.6,111.3
23.7,112.3
24.7,108.6
25.7,111.0
26.8,112.9
27.8,110.7
28.8,113.4
29.9,114.9
30.9,109.9
31.9,110.0
32.9,112.6
34.0,115.3
35.0,113.1
36.0,114.1
37.1,110.4
38.1,110.8
39.1,112.6
40.1,114.4
41.2,116.0
42.2,109.5
43.2,109.2
44.3,114.2
45.3,110.8
46.3,116.0
47.4,113.3
48.4,111.8
49.4,111.8
50.5,110.8
51.5,112.9
52.5,117.6
53.6,110.7
54.6,106.6
55.6,110.0
56.6,117.1
57.7,115.7
58.7,112.9
59.8,112.6
60.8,109.2
61.8,112.3
62.8,114.1
63.9,115.8
64.9,115.7
65.9,109.9
67.0,107.3
68.0,109.5
69.0,112.0
70.0,112.6
71.1,111.2
72.1,110.8
73.1,110.8
74.2,111.7
75.2,116.4
76.2,113.3
77.2,114.4
78.3,107.4
79.3,109.7
80.3,108.8
81.4,116.0
82.4,116.4
83.4,110.8
84.5,111.2
85.5,111.7
86.5,111.5
87.6,114.9
88.6,115.3
89.7,110.5
90.7,110.4
91.7,110.0
92.7,113.1
93.8,112.3
94.8,114.4
95.9,111.7
96.9,110.5
97.9,114.2
98.9,113.1
100.0,112.3
101.0,113.7
102.0,112.1
103.0,110.5
104.1,109.9
105.1,113.1
106.1,112.6
107.2,112.8
108.2,114.9
109.2,114.1
110.3,116.0
111.3,111.2
112.3,111.2
113.3,112.0
114.4,111.0
115.4,113.4
116.5,108.3
117.5,112.6
118.6,112.6
119.6,114.1
120.6,114.1
121.7,112.1
122.7,113.4
123.7,112.9
124.7,114.6
125.8,114.4
126.8,109.5
127.8,105.6
128.8,112.8
129.9,113.3
130.9,114.7
131.9,112.8
132.9,110.8
134.0,116.0
135.0,116.0
136.0,116.4
137.0,116.0
138.1,112.0
139.1,104.9
140.1,106.1
141.1,118.5
142.2,113.7
143.2,112.0
144.2,112.1
145.2,110.7
146.3,113.3
147.3,115.1
148.3,112.8
149.3,114.7
150.4,110.5
151.4,109.2
152.4,110.7
153.5,116.4
154.5,113.1
155.5,112.6
156.5,112.4
157.6,111.3
158.6,116.9
159.6,116.4
160.7,114.9
161.7,111.2
162.7,111.3
163.7,108.3
164.8,114.1
165.8,114.9
166.8,113.3
167.8,112.4
168.8,108.8
169.9,111.0
170.9,111.8
171.9,114.2
173.0,115.3
174.0,110.8
175.0,113.4
176.0,110.4
177.1,113.3
178.1,112.6
179.1,114.1
180.2,112.0
181.2,114.1
182.2,109.4
183.3,112.9
184.3,113.4
185.3,118.3
186.4,114.1
187.4,109.5
188.4,109.4
189.4,113.4
190.5,113.1
191.5,112.8
192.5,112.3
193.6,110.5
194.6,112.1
195.6,112.3
196.7,116.4
197.7,116.4
198.7,111.0
199.8,110.0
200.8,110.0
201.8,113.6
202.8,117.8
203.9,111.8
204.9,112.6
205.9,108.3
206.9,110.4
208.0,112.8
209.0,113.7
210.0,110.8
211.0,110.7
212.1,109.9
213.1,114.9
214.1,112.9
215.2,110.0
216.2,111.3
217.2,111.2
218.2,114.6
219.3,110.4
220.3,113.6
221.3,115.2
222.3,112.3
223.4,111.5
224.4,110.2
225.5,114.7
226.5,113.4
227.5,112.9
228.5,116.4
229.6,107.4
230.6,112.0
231.7,113.7
232.7,113.9
233.7,116.4
234.8,114.1
235.8,111.5
236.8,109.0
237.9,113.4
238.9,112.8
239.9,116.4
241.0,112.0
242.0,109.4
243.0,108.8
244.0,113.4
245.1,117.3
246.1,112.6
247.2,112.1
248.2,111.5
249.2,114.6
250.3,116.4
251.3,113.3
252.3,110.8
253.3,110.8
254.4,112.6
255.4,114.6
256.4,113.9
257.5,113.6
258.5,110.7
259.5,107.8
260.6,111.5
261.6,116.9
262.6,115.2
263.7,112.6
264.7,111.2
265.7,110.0
266.8,110.8
267.8,115.7
268.8,112.6
269.9,115.7
270.9,112.1
271.9,107.8
273.0,113.3
274.0,113.3
275.0,113.9
276.0,112.6
277.1,111.8
278.1,113.1
279.2,112.1
280.2,113.1
281.2,114.4
282.2,112.3
283.3,112.3
284.3,111.8
285.4,111.8
286.4,113.3
287.4,113.1
288.4,112.0
289.5,114.1
290.5,113.4
291.5,111.8
292.6,114.4
293.6,113.4
294.6,112.3
295.7,109.4
296.7,109.5
297.7,115.3
298.7,113.1
