time_s,value
0.0,109.2
1.0,107.4
2.1,107.4
3.1,106.8
4.1,108.1
5.2,111.0
6.2,110.5
7.3,108.9
8.3,108.8
9.3,108.6
10.3,108.8
11.4,111.3
12.4,108.3
13.5,107.3
14.5,108.9
15.5,108.6
16.6,110.4
17.6,109.5
18.7,109.4
19.7,109.2
20.7,107.4
21.8,110.5
22.8,110.5
23.9,107.3
24.9,109.2
25.9,107.9
27.0,107.3
28.0,110.7
29.0,108.6
30.1,108.8
31.1,109.0
32.2,111.5
33.2,107.9
34.3,108.4
35.3,107.3
36.3,108.4
37.4,111.0
38.4,108.9
39.5,108.8
40.5,107.1
41.5,109.0
42.6,111.3
43.6,108.1
44.6,107.4
45.7,111.3
46.7,110.7
47.8,110.7
48.8,107.9
49.9,108.4
50.9,106.5
51.9,111.0
53.0,110.8
54.0,108.8
55.1,108.9
56.1,110.5
57.2,110.8
58.2,111.3
59.3,108.3
60.3,108.3
61.3,108.1
62.4,108.6
63.4,111.8
64.4,108.1
65.5,107.6
66.5,108.3
67.5,107.4
68.6,110.7
69.6,108.1
70.6,108.8
71.7,108.3
72.7,106.3
73.8,111.5
74.8,109.4
75.8,108.9
76.9,109.2
77.9,108.9
79.0,111.0
80.0,108.8
81.0,108.8
82.1,108.8
83.1,107.9
84.1,109.2
85.2,108.9
86.2,109.0
87.3,108.1
88.3,108.6
89.3,110.8
90.4,107.8
90.4,109.7
91.4,108.8
91.7,110.7
92.5,108.9
92.8,109.5
93.5,108.3
93.9,108.4
94.5,109.7
95.0,110.2
95.6,110.0
96.3,107.6
96.6,107.9
97.6,109.2
97.7,107.1
98.7,107.9
99.7,109.4
100.7,109.5
101.8,107.4
102.8,108.9
103.9,109.4
104.9,109.0
105.9,110.5
107.0,111.5
108.0,110.4
109.1,108.4
110.1,107.1
111.1,111.0
112.2,109.2
113.2,107.9
114.2,108.8
115.3,108.6
116.3,111.0
117.4,107.9
118.4,107.9
119.4,107.4
120.5,107.9
121.5,110.5
122.6,108.4
123.6,107.0
124.6,107.9
125.7,108.1
126.7,111.2
127.8,108.8
128.8,108.1
129.8,108.9
130.9,109.2
131.9,111.2
133.0,107.1
134.0,107.4
135.0,109.2
136.1,109.2
137.1,111.7
138.2,108.8
139.2,108.4
140.2,108.4
141.3,108.8
142.5,112.0
143.5,106.5
144.6,108.1
145.6,108.1
146.7,107.1
147.8,109.7
148.9,107.6
149.9,107.9
151.0,109.2
152.0,108.9
153.1,111.3
154.1,109.4
155.1,109.0
156.2,108.1
157.2,108.8
158.2,111.5
159.2,107.9
160.3,108.8
161.3,108.1
162.3,109.2
163.4,107.1
164.4,106.5
165.4,108.1
166.5,108.9
167.5,108.8
168.5,111.2
169.6,107.9
170.6,108.8
171.6,108.1
172.7,108.8
173.7,109.5
174.7,108.8
175.8,107.9
176.8,109.4
177.8,108.6
178.9,110.0
179.9,107.9
181.0,108.8
182.0,108.8
183.0,108.4
184.1,109.7
185.1,107.9
186.1,107.1
187.2,108.8
188.2,109.4
189.2,111.2
190.3,110.5
191.3,107.1
192.4,108.4
193.4,109.4
194.4,107.0
195.5,110.5
196.5,107.3
197.5,108.8
198.6,108.8
199.6,108.9
200.7,111.0
201.7,108.9
202.7,107.1
203.8,108.6
204.8,108.1
205.8,111.3
206.9,107.8
207.9,108.3
