time_s,value
0.0,1.076
1.0,1.0391
2.1,1.0599
3.1,1.0602
4.1,1.0602
5.2,1.0555
6.2,1.0709
7.3,1.0606
8.3,1.0495
9.3,1.0703
10.4,1.0709
11.4,1.0797
12.4,1.0767
13.5,1.0794
14.5,1.0964
15.5,1.0609
16.6,1.0777
17.6,1.0753
18.7,1.0807
19.7,1.0478
20.7,1.0548
21.8,1.08
22.8,1.0968
23.9,1.0414
24.9,1.0713
25.9,1.0673
27.0,1.0495
28.0,1.0874
29.0,1.0351
30.1,1.0606
31.1,1.0682
32.2,1.0928
33.2,1.074
34.3,1.074
35.3,1.0616
36.3,1.0609
37.4,1.0834
38.4,1.0629
39.5,1.0545
40.5,1.0686
41.5,1.074
42.6,1.0807
43.6,1.0552
44.6,1.0602
45.7,1.0636
46.7,1.0847
47.8,1.0719
48.8,1.0428
49.9,1.0609
50.9,1.0515
51.9,1.0928
53.0,1.0773
54.0,1.0535
55.1,1.0377
56.1,1.0706
57.2,1.0841
58.2,1.0881
59.2,1.0686
60.3,1.0686
61.3,1.0569
62.4,1.0579
63.4,1.0726
64.4,1.0606
65.5,1.0586
66.5,1.0599
67.5,1.0498
68.6,1.0797
69.6,1.0397
70.6,1.0954
71.7,1.0831
72.7,1.0498
73.8,1.081
74.8,1.0656
75.9,1.0706
76.9,1.0659
77.9,1.0659
79.0,1.0834
80.0,1.0656
81.1,1.0656
82.1,1.0629
83.1,1.0699
84.2,1.0662
85.2,1.0414
86.2,1.0831
87.3,1.0629
88.3,1.0521
89.3,1.081
90.4,1.0508
90.6,1.0498
91.4,1.0669
91.7,1.0827
92.4,1.0552
92.8,1.0538
93.5,1.0706
93.9,1.0367
94.5,1.0662
95.2,1.0464
95.6,1.0713
96.5,1.0229
96.6,1.0767
97.6,1.0579
97.7,1.0397
98.7,1.0686
99.7,1.0653
100.7,1.0807
101.8,1.0548
102.8,1.0656
103.9,1.0753
104.9,1.0653
105.9,1.0689
107.0,1.0874
108.0,1.0743
109.1,1.0498
110.1,1.0659
111.1,1.0633
112.2,1.0794
113.2,1.0699
114.2,1.0508
115.3,1.0508
116.3,1.0841
117.4,1.0535
118.4,1.0602
119.4,1.0448
120.5,1.0659
121.5,1.0659
122.5,1.0599
123.6,1.0599
124.6,1.0656
125.7,1.0659
126.7,1.0763
127.8,1.0699
128.8,1.0629
129.8,1.0706
130.9,1.0562
131.9,1.0861
133.0,1.0599
134.0,1.0659
135.0,1.0767
136.1,1.0709
137.1,1.0797
138.2,1.0569
139.2,1.0767
140.2,1.0367
141.4,1.0498
142.5,1.0713
143.6,1.0535
144.6,1.0599
145.6,1.0699
146.8,1.0602
147.8,1.082
148.9,1.0562
149.9,1.0525
151.0,1.0606
152.1,1.0713
153.1,1.0834
154.1,1.0709
155.1,1.0535
156.2,1.0901
157.2,1.0719
158.2,1.0709
159.2,1.0656
160.3,1.0552
161.3,1.0616
162.3,1.0606
163.4,1.0659
164.4,1.074
165.4,1.0575
166.5,1.074
167.5,1.0431
168.5,1.0871
169.6,1.0388
170.6,1.0699
171.6,1.0545
172.7,1.0498
173.7,1.0827
174.7,1.0575
175.8,1.0642
176.8,1.0602
177.8,1.0978
178.9,1.0753
179.9,1.0548
181.0,1.0606
182.0,1.0592
183.0,1.0706
184.1,1.0542
185.1,1.0562
186.1,1.0767
187.2,1.0542
188.2,1.0602
189.2,1.0689
190.3,1.0307
191.3,1.0521
192.4,1.0699
193.4,1.0736
194.4,1.0545
195.5,1.0666
196.5,1.0535
197.6,1.0606
198.6,1.0659
199.6,1.0646
200.7,1.0834
201.7,1.0629
202.7,1.0528
203.8,1.0656
204.8,1.0656
205.9,1.081
206.9,1.0924
207.9,1.0653
