time_s,value
0.0,109.7
1.0,109.0
2.1,107.6
3.1,111.5
4.1,107.6
5.2,109.7
6.2,109.4
7.2,110.0
8.3,111.5
9.3,109.9
10.3,110.5
11.4,110.0
12.4,110.2
13.4,112.0
18.7,110.7
19.7,108.8
20.7,108.9
21.7,110.5
22.7,110.7
23.7,111.0
24.8,109.5
25.8,108.9
26.8,109.4
27.8,110.7
28.9,111.3
29.9,109.0
30.9,109.7
31.9,108.9
32.9,109.5
34.0,110.2
35.0,112.4
36.0,111.5
37.0,109.4
38.1,109.4
39.1,111.7
40.1,110.7
41.1,108.4
42.1,109.5
43.2,110.5
44.2,111.5
45.2,109.4
46.2,109.4
47.2,109.7
48.2,110.0
49.3,109.5
50.3,110.0
51.3,110.5
52.3,109.7
53.3,108.9
54.4,110.2
55.4,108.3
56.4,109.5
57.4,108.6
58.4,110.2
59.5,108.3
60.5,108.9
61.5,108.8
62.5,108.8
63.5,109.5
64.5,111.8
65.6,111.5
66.6,109.5
67.6,109.7
68.6,108.9
69.6,109.5
70.7,111.3
71.7,109.0
72.7,109.0
73.7,109.0
74.7,109.4
75.8,111.2
76.8,109.7
77.8,108.6
78.8,109.4
79.8,109.5
80.8,108.4
81.9,109.4
82.9,108.9
83.9,110.0
84.9,110.2
85.9,109.7
87.0,109.4
88.0,113.1
89.0,112.3
90.0,110.2
91.1,112.0
92.1,109.9
93.1,110.4
94.1,110.0
95.1,112.8
96.2,111.8
97.2,109.5
98.2,110.0
99.2,110.4
100.3,109.9
101.3,112.8
102.3,108.3
103.3,110.0
104.3,109.9
105.3,110.5
106.4,110.4
107.4,108.9
108.4,109.9
109.4,109.0
110.4,109.7
111.5,109.7
112.5,110.2
113.5,108.9
114.5,109.0
115.5,109.0
116.5,110.0
117.6,111.5
118.6,110.0
119.6,109.5
120.6,109.0
121.6,109.9
122.6,108.3
123.7,110.2
124.7,112.6
125.7,112.3
126.8,110.7
127.8,112.3
128.8,109.9
129.8,110.4
130.8,110.4
131.8,110.2
132.9,109.5
133.9,108.3
134.9,109.4
135.9,108.9
136.9,108.9
138.0,109.5
139.0,109.5
140.0,109.5
141.0,109.4
142.0,109.5
143.1,109.9
144.1,110.7
145.1,108.8
146.1,108.6
147.1,109.2
148.1,113.1
149.2,112.8
150.2,110.5
151.2,110.2
152.2,109.7
153.2,110.5
