time_s,value
0.0,1.0401
1.0,1.0498
2.1,1.0552
3.1,1.0559
4.2,1.0629
5.2,1.0552
6.2,1.0468
7.2,1.0592
8.3,1.0431
9.3,1.0565
10.4,1.0602
11.4,1.074
12.4,1.0599
14.7,1.0773
18.7,1.0495
19.7,1.0847
20.7,1.0629
21.7,1.0521
22.7,1.0703
23.8,1.0756
24.8,1.0454
25.8,1.0441
26.8,1.0501
27.8,1.0649
28.9,1.0669
29.9,1.076
30.9,1.0337
31.9,1.0501
32.9,1.0662
34.0,1.0602
35.0,1.078
36.0,1.0756
37.0,1.0498
38.1,1.0673
39.1,1.0777
40.1,1.0753
41.1,1.0548
42.1,1.0669
43.2,1.0706
44.2,1.0699
45.2,1.0444
46.2,1.0391
47.2,1.0656
48.2,1.0699
49.3,1.0552
50.3,1.0498
51.3,1.0606
52.3,1.0682
53.3,1.0575
54.4,1.0699
55.4,1.0602
56.4,1.0609
57.4,1.0521
58.4,1.0606
59.5,1.0528
60.5,1.0468
61.5,1.0538
62.5,1.0656
63.5,1.0606
64.5,1.0582
65.6,1.1049
66.6,1.029
67.6,1.0709
68.6,1.0656
69.6,1.0699
70.7,1.0666
71.7,1.0552
72.7,1.0606
73.7,1.0498
74.7,1.0767
75.8,1.0589
76.8,1.0337
77.8,1.0498
78.8,1.0679
79.8,1.0602
80.9,1.0388
81.9,1.0511
82.9,1.0682
83.9,1.0682
84.9,1.0709
86.0,1.0606
87.0,1.0606
88.0,1.08
89.0,1.078
90.0,1.076
91.1,1.0827
92.1,1.0794
93.1,1.0807
94.1,1.0511
95.2,1.0871
96.2,1.0689
97.2,1.0521
98.2,1.0622
99.2,1.0844
100.3,1.0709
101.3,1.0834
102.3,1.0609
103.3,1.0508
104.3,1.0401
105.3,1.0656
106.4,1.0629
107.4,1.0461
108.4,1.0709
109.4,1.0616
110.4,1.0606
111.5,1.0723
112.5,1.0498
113.5,1.0609
114.5,1.0713
115.5,1.0609
116.5,1.0606
117.6,1.081
118.6,1.0767
119.6,1.0629
120.6,1.0767
121.6,1.0381
122.7,1.0444
123.7,1.0622
124.7,1.0861
125.7,1.0904
126.8,1.0616
127.8,1.0797
128.8,1.0794
129.8,1.0767
130.8,1.0709
131.8,1.0736
132.9,1.0709
133.9,1.0417
134.9,1.0525
135.9,1.0706
136.9,1.0706
138.0,1.0794
139.0,1.0441
140.0,1.0579
141.0,1.0233
142.0,1.0703
143.1,1.0656
144.1,1.0767
145.1,1.0589
146.1,1.078
147.1,1.0616
148.2,1.0666
149.2,1.0827
150.2,1.0606
151.2,1.0706
152.2,1.0814
153.2,1.0753
